radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,250,2,7814,201344259,0,30.354537963867,59.845962524414,1000,2,1,1458925948,1467390123,0
LTE,250,2,7814,201354757,0,30.340004,59.84459,1000,12,1,1458925949,1492177210,0
LTE,250,2,7814,201352962,0,30.321579,59.847264,1000,38,1,1458925948,1491735213,0
LTE,250,2,7814,201474818,0,30.368270874023,59.854202270508,1000,1,1,1408433870,1408433870,0
LTE,250,2,7814,201353733,0,30.335358,59.810726,1000,21,1,1458925948,1506282281,0
LTE,250,2,7810,202053645,0,30.318832397461,59.898147583008,1000,1,1,1437126933,1437126933,0
LTE,250,2,7810,201357569,0,30.329818725586,59.910507202148,1000,1,1,1454522431,1454522431,0
LTE,250,2,7810,202039564,0,30.300966,59.894151,1000,5,1,1458925945,1550595009,0
LTE,250,2,7810,201987341,0,30.293427,59.91497,1000,4,1,1458925945,1492230544,0
LTE,250,2,7810,202084247,0,30.30647277832,59.916000366211,1000,18,1,1458925945,1491924547,0
LTE,250,2,7810,202039563,0,30.300783,59.905014,1000,7,1,1458925945,1481028457,0
LTE,250,2,7810,201344516,0,30.340977,59.89706,1000,24,1,1458925945,1474210612,0
LTE,250,2,7810,202039565,0,30.283813,59.900894,1000,2,1,1458925945,1463530218,0
LTE,250,2,7810,201987852,0,30.299606,59.909134,1000,7,1,1458925945,1474513476,0
LTE,250,2,7810,202041611,0,30.340576,59.906845,1000,6,1,1458925945,1477937583,0
LTE,250,2,7811,201472512,0,30.382182,59.899434,1000,17,1,1458925945,1566343024,0
LTE,250,2,7811,200070403,0,30.349044799805,59.918746948242,1000,2,1,1458925945,1469803155,0
LTE,250,2,7811,201474048,0,30.406615,59.880996,1000,10,1,1458925946,1566342857,0
LTE,250,2,7811,201492738,0,30.353394,59.878864,1000,48,1,1458925946,1490377768,0
LTE,250,2,7811,201478917,0,30.38269,59.868622,1000,12,1,1458925946,1474556320,0
LTE,250,2,7811,201473539,0,30.379166,59.86914,1000,16,1,1458925946,1505324311,0
LTE,250,2,7812,201474820,0,30.392998,59.859251,1075,48,1,1458925946,1505296950,0
LTE,250,2,7811,201487109,0,30.360842,59.90874,1000,31,1,1458925946,1565765681,0
LTE,250,2,7811,202054155,0,30.362872,59.899789,1000,13,1,1458925946,1505324599,0
LTE,250,2,7811,202027405,0,30.376785,59.8862,1000,10,1,1458925946,1487676822,0
LTE,250,2,7812,201474817,0,30.392158,59.858532,1000,43,1,1458925946,1505324208,0
LTE,250,2,7812,201475842,0,30.391616821289,59.843215942383,1000,1,1,1453199660,1453199660,0
LTE,250,2,7811,202061325,0,30.358657836914,59.910507202148,1000,1,1,1428314292,1428314292,0
LTE,250,2,7812,7387841,0,30.456161499023,59.843215942383,1000,1,1,1452785250,1452785250,0
LTE,250,2,7812,201472005,0,30.435013,59.841152,1000,16,1,1458925946,1506282720,0
LTE,250,2,7811,202027396,0,30.369644165039,59.878921508789,1000,1,1,1452881313,1452881313,0
LTE,250,2,7812,201480452,0,30.402145,59.865189,1000,3,1,1458925947,1475587945,0
LTE,250,2,7812,202065540,0,30.388870239258,59.836349487305,1000,1,1,1450196314,1450196314,0
LTE,250,2,7812,202058618,0,30.399856567383,59.839096069336,1000,1,1,1449025221,1449025221,0
LTE,250,2,7812,202027531,0,30.457534790039,59.844589233398,1000,11,1,1458925947,1490539291,0
LTE,250,2,7812,202058647,0,30.418841,59.83638,1000,10,1,1458925947,1505677033,0
LTE,250,2,7812,201993483,0,30.462753,59.839096,1000,25,1,1458925947,1491735213,0
LTE,250,2,7812,202016268,0,30.402603149414,59.873428344727,1000,1,1,1443405070,1443405070,0
LTE,250,2,7812,202058619,0,30.405349731445,59.84733581543,1000,1,1,1449025221,1449025221,0
LTE,250,2,7812,201489925,0,30.412216186523,59.865188598633,1000,7,1,1458925947,1491590420,0
